news_source,bias,reporting,country,references
Current Affairs,Left,High,United States,"22,542"
Curve Magazine,Left,High,United States,"31,104"
D.C. Circuit Breaker,Least Biased,High,United States,122
The Daily 49er,Left,High,United States,"4,440"
Daily Beast,Left,High,United States,"2,584,164"
Daily Business Review,Least Biased,High,United States,"669,875"
Daily Dot,Left,High,United States,"197,481"
Daily Express,Right,High,United Kingdom,"2,519,330"
Daily Herald,Right-Center,High,United States,"1,122,870"
The Daily Hive,Left-Center,High,,"135,749"
Daily Journal (Missouri),Least Biased,High,United States,"11,085"
Daily Maverick,Least Biased,High,South Africa,0
Daily Press,Right-Center,High,United States,"1,078,706"
Daily Record,Least Biased,High,United States,"545,856"
Dallas Morning News,Right-Center,High,United States,"3,349,082"
Dallas Voice,Left,High,United States,"32,318"
Darien Times,Least Biased,High,United States,"171,957"
Dawn,Left-Center,High,Pakistan,"1,606,044"
The Day (New London),Least Biased,High,United States,"221,835"
Dayton Daily News,Least Biased,High,United States,"824,782"
DCReport.org,Left-Center,High,United States,"79,768"
de Volkskrant,Right-Center,High,Netherlands,"779,343"
DeadState,Left,High,United States,"22,678"
Deadline Hollywood,Left-Center,High,United States,"1,796,920"
Deadspin,Left,High,United States,"10,748,148"
DeathandTaxes,Left,High,United States,"184,192"
Debate Post,Right,High,United States,"5,473"
Debunking Denialism,Left-Center,High,Sweden,"16,771"
Deccan Chronicle,Right-Center,High,United States,"1,842,376"
The Defcon Warning System,Least Biased,High,United States,"52,459"
Defense News,Least Biased,High,United States,"512,469"
Defense One,Least Biased,High,United States,"199,685"
Del Rio News-Herald,Least Biased,High,United States,"13,596"
Delaware Online - The News Journal,Left-Center,High,United States,"1,415,758"
Democracy 21,Left-Center,High,United States,"66,237"
Democracy Chronicles,Left,High,United States,"17,402"
Democracy Now,Left,High,United States,"2,483,056"
Democrat and Chronicle,Left-Center,High,United States,"1,523,874"
Demos,Left-Center,High,United States,"153,332"
Denver Post,Left-Center,High,United States,"1,941,898"
Denver Westword,Left-Center,High,United States,"13,166"
Deseret News,Right-Center,High,United States,"145,928"
Desert Sun,Right-Center,High,United States,"755,765"
DeSmog,Left,High,United States,"343,880"
Detroit Free Press,Left-Center,High,United States,"1,876,495"
Detroit News,Right-Center,High,United States,"1,594,957"
Die Zeit,Left-Center,High,Germany,"1,069,621"
Digg,Left-Center,High,United States,"27,328,799"
Digital Journal,Least Biased,High,Canada,"3,516,039"
Discover Magazine,Pro-Science,High,United States,"695,936"
Dissent Magazine,Left,High,United States,"339,585"
DiversityInc,Left-Center,High,United States,"78,000"
Doctors Without Borders,Least Biased,High,France,"502,833"
Downsizing the Federal Government,Right-Center,High,United States,"112,160"
DPA German Press Agency,Least Biased,High,Germany,"16,951"
Duluth News Tribune,Least Biased,High,United States,"242,699"
Dutch Daily News,Left-Center,High,Netherlands,"3,221"
DW News,Left-Center,High,Germany,"5,226,649"
Earth Institute,Left-Center,High,United States,"26,649"
EarthJustice,Left-Center,High,United States,"233,537"
East Bay Times,Left-Center,High,United States,"1,028,455"
Eau Claire Leader-Telegram,Least Biased,High,United States,0
Economic Policy Institute,Left-Center,High,United States,"420,095"
EconomicPolicyJournal.com,Right,High,United States,"293,615"
Economics.Help,Left-Center,High,United Kingdom,"13,315"
Edmonton Journal,Right-Center,High,Canada,"557,680"
Edmonton Sun,Right-Center,High,Canada,"488,350"
EJ Insight,Least Biased,High,Hong Kong SAR China,"823,591"
El Nuevo Dia,Least Biased,High,Puerto Rico,"12,359"
El Pais,Left-Center,High,Spain,"10,325,795"
El Paso Times,Left-Center,High,United States,"126,718"
Electoral-Vote.com,Left,High,Netherlands,"696,867"
Electronic Frontier Foundation,Left-Center,High,United States,"10,439,691"
Elisabeth Parker,Left,High,United States,"1,039"
Emirates 24/7,Left-Center,High,United Arab Emirates,"1,251,662"
Empty Wheel,Left-Center,High,United States,"420,174"
Encyclopedia Britannica,Pro-Science,High,United States,"2,010,819"
Engadget,Left-Center,High,United States,"5,122,066"
Entertainment Weekly,Left-Center,High,United States,"2,402,932"
Erie Times-News,Least Biased,High,United States,"348,574"
ERR News (Estonia Public Broadcasting),Least Biased,High,Estonia,"5,793,107"
Ethics and Public Policy Center (EPPC),Right-Center,High,United States,"54,172"
EU Observer,Left-Center,High,Belgium,"329,856"
Eurasia Group,Least Biased,High,United States,"18,187"
Eurasia Review,Least Biased,High,United States,"150,844"
Euronews,Least Biased,High,France,"4,566,920"
The European Council on Foreign Relations (ECFR),Left-Center,High,,"485,083"
Everyday Feminism,Left,High,United States,"22,814"
Everyday Health,Pro-Science,High,United States,"5,309,085"
Evonomics,Left,High,United States,"92,829"
Exposing the Truth,Left-Center,High,United Kingdom,441
Factbox.TV,Left-Center,High,Unknown or Invalid Region,396
Fact/Myth,Left-Center,High,United States,"3,819"
Factwire News Agency,Least Biased,High,Hong Kong SAR China,"1,318"
Fair Observer,Least Biased,High,United States,"39,524"
Fairness and Accuracy in Reporting,Left-Center,High,United States,"719,217"
FairVote,Left-Center,High,United States,"285,114"
Faith Family America,Right-Center,High,United States,"18,262"
Fast Company,Left-Center,High,United States,"991,152"
FDD's Long War Journal,Right-Center,High,United States,"1,078,512"
Federal News Network,Least Biased,High,United States,"76,890"
Federal Times,Least Biased,High,United States,"322,531"
Feminist Current,Left,High,United States,"29,707"
Feminst Frequency,Left-Center,High,United States,"25,029"
Feministing,Left,High,United States,"872,260"
Fifth Estate,Left,High,United States,"61,920"
Fight for the Future,Left-Center,High,United States,"48,834"
Filming Cops,Left,High,United States,"19,078"
Financal Express,Least Biased,High,India,"3,073,880"
Financal Times,Least Biased,High,United Kingdom,"6,923,493"
First Draft News,Least Biased,High,United States,"12,390"
First Post,Left,High,India,"5,496,571"
FitsNews,Right-Center,High,United States,"136,766"
FivethirtyEight,Left-Center,High,United States,"2,341,886"
Florida Times Union,Right-Center,High,United States,"466,106"
Foreign Affairs,Least Biased,High,United States,"1,345,506"
Foreign Policy in Focus,Left-Center,High,United States,"279,443"
Foreign Policy Initiative,Right-Center,High,United States,"9,731"
Foreign Policy,Least Biased,High,United States,"944,030"
Fort Worth Weekly,Left-Center,High,United States,"79,706"
Fortnightly Review,Right-Center,High,United Kingdom,"16,217"
Fortune Magazine,Right-Center,High,United States,"857,465"
Forward Progressives,Left,High,United States,"3,921"
Foster's Daily Democrat,Least Biased,High,United States,0
Foundation for Defense of Democracies,Right,High,United States,"212,592"
France Info,Left-Center,High,France,0
France 24,Least Biased,High,France,"2,350,166"
Freakonomics,Left-Center,High,United States,"719,590"
Free Press,Left,High,United States,"75,353"
Free Rein News,Left,High,,3
Free Wheel Media,Least Biased,High,United States,"2,967"
Freedom Alliance,Right-Center,High,United States,"16,355"
Freedom House,Right-Center,High,United States,"357,078"
Freedom News and Journal,Left,High,United Kingdom,"10,071"
Fresno Bee,Left-Center,High,United States,"1,390,633"
The Frontier,Left-Center,High,United States,"5,070"
FSTv (Freespeech.org),Left,High,United States,"138,100"
Full Fact UK,Least Biased,High,United Kingdom,"50,465"
Fusion,Left-Center,High,United States,"63,486"
Futurism,Pro-Science,High,United States,"184,805"
Gainesville Sun,Least Biased,High,United States,"200,104"
Gay Star News,Left-Center,High,United States,"99,086"
GBTimes,Least Biased,High,China,"112,884"
Gears of Biz,Least Biased,High,United States,"86,783"
Geek.com,Least Biased,High,United States,"4,078,433"
Genetic Literacy Project,Pro-Science,High,United States,"90,922"
Gizmodo,Left,High,United States,"15,222,250"
Glamour Magazine,Left-Center,High,United States,"2,168,828"
Global Citizen,Left-Center,High,United States,"131,942"
Global Integrity,Least Biased,High,United States,"40,831"
Global News,Left-Center,High,Canada,"842,254"
Global Post,Left-Center,High,United States,"3,760,877"
Global Risk Insights,Left-Center,High,United Kingdom,"46,415"
Global Slavery Index,Least Biased,High,Australia,"20,446"
Global Voices,Left,High,United States,"179,250"
Globe Gazette (Iowa),Least Biased,High,United States,"36,123"
Good Magazine,Left,High,United States,"356,391"
GoodNewsNetwork,Least Biased,High,United States,"125,709"
Gothamist,Left-Center,High,United States,"1,069,584"
Governing Magazine,Left-Center,High,United States,"153,426"
Government Accountability Project (GAP),Left-Center,High,United States,0
Government Executive,Left-Center,High,United States,"160,088"
GQ Magazine,Left,High,United States,"2,410,365"
Grand Rapids Press,Right-Center,High,United States,"2,883,294"
Grasping Reality With Both Hands: Bradford Delong,Left,High,United States,"345,015"
Great Falls Tribune,Least Biased,High,United States,"943,892"
Green Bay Press-Gazette,Least Biased,High,United States,"949,961"
Greentech Media,Left-Center,High,United States,"158,742"
Greenville News,Least Biased,High,United States,"1,132,137"
Grist,Left-Center,High,United States,"966,297"
Grit Post,Left,High,United States,"7,064"
Group of Thirty,Least Biased,High,United States,"47,111"
Guardian Liberty Voice,Left,High,United States,"224,300"
Gulf News,Right-Center,High,United Arab Emirates,"991,254"
Gun Violence Archive,Left-Center,High,United States,"240,068"
Guns.com,Right-Center,High,United States,"82,310"
Haaretz,Left,High,Israel,"7,203,869"
Hanford Sentinel,Least Biased,High,United States,"9,653"
Harper's Magazine,Left-Center,High,United States,"824,053"
Harvard Business Review,Least Biased,High,United States,"2,026,404"
Harvard Gazette,Least Biased,High,United States,"3,398"
Harvard Political Review,Left-Center,High,United States,"17,301"
Healio,Pro-Science,High,United States,
Healthcare Finance News,Least Biased,High,United States,"204,610"
HealthLine,Pro-Science,High,United States,"389,862"
HealthyWay,Left-Center,High,United States,"3,448"
Heavy,Left-Center,High,United States,"535,119"
Helsingin Sanomat,Left-Center,High,Finland,0
Helsinki Times,Left-Center,High,Finland,"97,603"
Herald & Review,Least Biased,High,United States,"12,315"
Herald Sun (AUS),Right-Center,High,Australia,"2,262,714"
Heterodox Academy,Right-Center,High,United States,"228,472"
High Country News,Left-Center,High,United States,"165,408"
High Point Enterprise,Right-Center,High,United States,"3,801"
Highline,Left-Center,High,United States,"4,062,911"
Hill Reporter,Left,High,United States,"19,107"
Hindustan Times,Left-Center,High,,"7,372,177"
History News Network,Left-Center,High,United States,"100,862"
Hollywood Reporter,Left-Center,High,United States,"3,250,767"
Homeland Security News Wire,Least Biased,High,United States,"203,837"
Honest Reporting,Right-Center,High,United States,"208,671"
Honolulu Civil Beat,Left-Center,High,United States,297
Honolulu Star-Advertiser,Left-Center,High,United States,"876,756"
Hoover Institution,Right-Center,High,United States,"284,742"
Houston Chronicle,Left-Center,High,United States,"78,792"
Hudson Institute,Right,High,United States,"224,976"
Human Rights Campaign,Left,High,United States,"543,038"
Human Rights Watch,Left-Center,High,United States,"1,516,726"
Humanium,Left-Center,High,Switzerland,"4,005"
Hurriyet Daily News,Left-Center,High,Turkey,"2,400,729"
I24 News,Least Biased,High,Israel,"12,108"
Ice News,Left-Center,High,Iceland,"52,458"
Icitizen,Least Biased,High,United States,355
Idaho Statesman,Least Biased,High,United States,"1,337,755"
If America Knew,Left-Center,High,United States,"189,372"
Janes 360,Least Biased,High,United Kingdom,"508,081"
Illinois Policy Institute,Right,High,United States,"115,204"
iMediaEthics,Least Biased,High,United States,"29,279"
In Defence of Marxism,Left,High,United Kingdom,"410,072"
In Homeland Security,Right-Center,High,United States,"100,296"
Independent Australia,Left-Center,High,Australia,"71,950"
Independent Journal Review,Right,High,United States,"307,407"
Independent Media Center,Left-Center,High,United States,"4,415,343"
Independent Record (Montana),Least Biased,High,United States,"34,763"
Independent Voter Network (IVN),Least Biased,High,United States,"52,880"
Independent Women's Forum,Right,High,United States,"52,315"
India Today,Least Biased,High,India,"889,956"
Indianapolis Star,Least Biased,High,United States,"1,048,386"
Inequality Media,Left,High,United States,544
iNews,Left-Center,High,United Kingdom,"2,479,191"
Influence Watch,Right,High,United States,"8,002"
Infobae,Left-Center,High,Argentina,0
Informed Comment (Juan Cole),Left,High,United States,"2,997,222"
Inforum (The Forum of Fargo-Moorhead),Right-Center,High,United States,"430,554"
Inland Valley Bulletin,Least Biased,High,United States,"237,338"
Inquisitr,Left-Center,High,United States,"1,630,466"
Inside Edition,Left-Center,High,United States,"399,761"
Inside Higher Ed,Left-Center,High,United States,"1,601,473"
Inside Philanthropy,Left-Center,High,United States,"2,002"
InsideClimate News,Left-Center,High,United States,"286,588"
InsideSources,Right-Center,High,United States,"3,525"
Institute for Humane Studies,Right-Center,High,United States,"5,301"
Institute for Middle East Understanding,Left-Center,High,United States,"27,830"
Institute on Taxation and Economic Policy (ITEP),Left-Center,High,United States,"33,454"
Institute for Policy Studies,Left,High,United States,"192,354"
International Center for Research on Women,Left-Center,High,United States,"72,444"
International Crisis Group,Left-Center,High,United States,"312,267"
International Energy Agency,Least Biased,High,United States,"931,409"
International Rescue Committee,Least Biased,High,United States,"255,118"
Inverse,Left-Center,High,United States,"53,137"
Investopedia,Least Biased,High,United States,"630,584"
Iowa Starting Line,Left,High,United States,"26,421"
Ipolitics,Left-Center,High,Canada,"149,985"
IRIN News,Left-Center,High,Kenya,"423,225"
Irish Independent,Right-Center,High,Ireland,"1,159,348"
Israel Hayom,Right-Center,High,Israel,"59,724"
Issues in Science and Technology,Pro-Science,High,United States,0
ITV News,Right-Center,High,United Kingdom,"1,722,579"
Jackson Free Press,Left-Center,High,United States,"158,410"
Jackson Sun,Least Biased,High,United States,"545,648"
Jacobin,Left,High,United States,"261,479"
Japan Times,Least Biased,High,Japan,"2,837,365"
Japan Today,Right-Center,High,Japan,"306,429"
Jewish Jounral,Right-Center,High,United States,"24,137"
Jewish News Syndicate,Right-Center,High,Israel,"53,986"
Jewish Policy Center,Right,High,United States,"17,461"
Jewish Telegraphic Agency (JTA),Least Biased,High,Israel,"1,556,381"
Jihadica,Left-Center,High,United States,"183,438"
Joint Center for Polititical and Economic Studies,Left-Center,High,United States,"31,580"
Journal Gazette,Least Biased,High,United States,"214,415"
The Journal Standard,Least Biased,High,United States,"812,638"
Just Facts Daily,Right-Center,High,United States,"16,950"
Just Security,Left-Center,High,United States,"141,107"
Justice Denied,Least Biased,High,United States,"3,125"
Kaiser Family Foundation,Least Biased,High,United States,"929,618"
KAIT8-TV,Least Biased,High,United States,0
Kansas City Star,Left-Center,High,United States,"1,546,533"
Keep and Bear,Right,High,United States,"15,351"
KMOV,Left-Center,High,United States,"113,366"
Knight Foundation,Left-Center,High,United States,"2,446,290"
Know Your Meme,Least Biased,High,United States,"3,878,941"
Knowhere,Least Biased,High,United States,"3,171"
Knoxville News Senitinel,Least Biased,High,United States,"273,295"
KOCO News 5,Left-Center,High,United States,"99,271"
Kotaku,Left-Center,High,United States,"10,881,595"
KTLA,Least Biased,High,United States,"416,564"
KUTV Salt Lake City,Right-Center,High,United States,"57,198"
La Presse,Left-Center,High,Canada,"2,149,716"
La Repubblica,Left-Center,High,Italy,0
La Stampa,Left-Center,High,Italy,0
LA Times,Left-Center,High,United States,"9,110,488"
Laconia Daily Sun,Left-Center,High,United States,0
Lansing State Journal,Least Biased,High,United States,"708,902"
Laredo Morning Times,Right-Center,High,United States,"473,767"
Las Cruces Sun-News,Least Biased,High,United States,"75,898"
Las Vegas Review Journal,Right-Center,High,United States,"1,604,560"
Latin Times,Left-Center,High,United States,"64,399"
Lavender Magazine,Left,High,United States,"34,488"
Law.com,Least Biased,High,United States,"17,410"
Law & Crime,Left-Center,High,United States,"310,395"
La Devoir,Least Biased,High,Canada,"708,767"
Lead Stories,Least Biased,High,United States,"4,931,398"
Learn Liberty,Right-Center,High,United States,"59,686"
Lebanon Daily News,Least Biased,High,United States,0
Left Foot Forward,Left,High,United Kingdom,"244,397"
Left Justified,Left-Center,High,United States,"6,083"
Left Voice,Left,High,Argentina,"2,363,848"
National Monitor,Left-Center,High,United States,"17,483"
LeftScoop,Left,High,United States,"2,175"
Legal Insurrection,Right,High,United States,"1,684,729"
Leicester Mercury,Right-Center,High,United Kingdom,710
Lethbridge Herald,Left-Center,High,Canada,"312,482"
Lexington Herald Leader,Left-Center,High,United States,"806,467"
Lexington Institute,Right-Center,High,United States,914
Libcom.org,Left,High,United States,"406,106"
Liberal Mountain,Left-Center,High,United States,"2,493"
Liberals Unite,Left,High,United States,"63,840"
Liberation News,Left,High,United States,"97,253"
Libertarianism.org,Right-Center,High,United States,"127,001"
Liberty Viral,Right-Center,High,United States,"9,093"
Lifehacker,Left-Center,High,United States,"11,635,150"
Lincoln Journal Star,Least Biased,High,United States,"134,264"
Little Green Footballs,Left,High,United States,"395,083"
Live Science,Pro-Science,High,United States,"2,493,511"
Lompoc Record,Least Biased,High,United States,"99,059"
London Evening Standard,Right-Center,High,United Kingdom,"4,093,210"
Los Angeles Daily News,Right-Center,High,United States,"1,134,144"
Los Angeles Magazine,Left-Center,High,United States,0
Lynx Media,Right-Center,High,United States,"11,383"
Mackinac Center for Public Policy,Right-Center,High,United States,"4,079,199"
Maclean's Magazine,Right-Center,High,Canada,"690,735"
Maine Beacon,Left-Center,High,United States,"3,547"
Mainichi Shimbun,Left-Center,High,Japan,"2,751,869"
MakeUseOf,Least Biased,High,United States,"229,798"
Manchester Union leader,Right,High,United States,"635,931"
Manhattan Institute for Policy Research,Right-Center,High,United States,"161,862"
Maplight,Left-Center,High,United States,"227,970"
Marginal Revolution,Right-Center,High,United States,0
MarketWatch,Right-Center,High,United States,"8,938,881"
McClatchy DC,Left-Center,High,United States,"2,015,784"
Media Matters,Left,High,United States,"2,291,747"
MediaFile,Left-Center,High,United States,"7,084"
Mediaite,Left,High,United States,"1,198,894"
MediaShift,Least Biased,High,United States,"156,438"
Medical News Today,Pro-Science,High,United States,"1,331,802"
Medical XPress,Pro-Science,High,United Kingdom,"848,528"
Medium,Left-Center,High,United States,"3,931,472"
Meduza,Left,High,Latvia,"97,678"
Mental Daily,Pro-Science,High,United States,"3,942"
Mental Floss,Least Biased,High,United States,"364,240"
Mercatornet,Right,High,Australia,"8,140,187"
Mercatus,Right-Center,High,United States,"167,222"
Mercopress,Least Biased,High,Uruguay,"229,274"
Merion West,Least Biased,High,United States,"4,671"
Merry Jane,Left,High,United States,"6,569"
Metabunk,Least Biased,High,United States,"32,468"
Metro,Left-Center,High,United States,"604,635"
MetroWest Daily News,Least Biased,High,United States,"291,929"
Mexico Daily News,Left-Center,High,Mexico,"23,677"
Miami Herald,Left-Center,High,United States,"3,399,326"
Miami New Times,Left,High,United States,"171,150"
MIC,Left-Center,High,United States,"61,329"
Migration Policy Institute,Left-Center,High,United States,"88,419"
Military.com,Least Biased,High,United States,"593,720"
Military Times,Least Biased,High,United States,"1,778,295"
Milwaukee Journal-Sentinal,Left-Center,High,United States,"452,189"
Minneapolis Star-Tribune,Left-Center,High,United States,"2,105,469"
Minnesota Public Radio (MPR),Left-Center,High,United States,"363,554"
MinnPost,Left-Center,High,United States,"275,694"
Mint Press News,Left-Center,High,United States,"525,572"
Missoulian,Least Biased,High,United States,"184,927"
Molad The Center for the Renewal of Israeli Democracy,Left,High,Israel,"58,061"
Mondoweiss,Left,High,United States,"1,804,970"
Mongabay,Left-Center,High,United States,"212,810"
Montana Standard,Least Biased,High,United States,"26,908"
Monthy Review,Left-Center,High,United States,"454,357"
Montreal Gazette,Left-Center,High,Canada,"778,569"
Mosaic,Pro-Science,High,United Kingdom,"11,253"
Moscow Times,Left-Center,High,Netherlands,"47,775"
Mother Jones,Left-Center,High,United States,"2,183,123"
Mother Nature Network,Left-Center,High,United States,"572,772"
Mountain Democrat,Left-Center,High,United States,"20,058"
Ms. (Magazine),Left,High,United States,"141,934"
MSN.com,Left-Center,High,United States,"44,615,473"
Muncie Voice,Left-Center,High,United States,"19,397"
MWC News - Media With Conscience,Left-Center,High,Belize,"551,919"
MyNorthwest,Right-Center,High,United States,"197,945"
Naked Capitalism,Left-Center,High,United States,"1,720,741"
Napa Valley Register,Least Biased,High,United States,"18,402"
Naples Daily News,Left-Center,High,United States,"231,255"
National Affairs,Right-Center,High,United States,"61,749"
National Association for the Advancement of Colored People (NAACP),Left-Center,High,United States,"733,977"
National Bureau of Economic Research,Least Biased,High,United States,"264,261"
National Center for Transgender Equality,Left-Center,High,United States,"26,067"
National Conference of State Legislatures (NCSL),Least Biased,High,United States,"506,617"
National Geographic,Pro-Science,High,United States,"3,958,648"
National Institute on Money in State Politics,Least Biased,High,United States,"305,073"
National Institutes of Health (NIH),Pro-Science,High,United States,"20,575,052"
National Interest,Right-Center,High,United States,"393,249"
National Journal,Least Biased,High,United States,"813,548"
National Newswatch,Left-Center,High,Canada,"80,836"
National Observer,Left-Center,High,Canada,"43,336"
National Post,Right-Center,High,Canada,"1,498,530"
National Youth Right Association,Left-Center,High,United States,"7,774"
Natural Resource Governance Institute,Left-Center,High,United States,"283,312"
Nature Conservancy,Left-Center,High,United States,"835,444"
Navy Times,Least Biased,High,United States,0
NBC News,Left-Center,High,United States,"5,014,998"
NBCNewYork.com,Left-Center,High,United States,"8,919"
NC Policy Watch,Left-Center,High,United States,"82,357"
Need2Know,Least Biased,High,United States,"4,379"
Netherlands Radio and Television Association,Right-Center,High,Netherlands,"674,159"
Neuroscience News,Pro-Science,High,United States,"127,448"
New America,Left-Center,High,United States,"424,067"
New Atlas,Pro-Science,High,United States,"527,870"
New Bern Sun Journal,Least Biased,High,United States,"48,607"
New England Cable News (NECN),Left-Center,High,United States,"155,147"
New England Skeptical Society,Pro-Science,High,United States,"13,161"
New Haven Register,Left-Center,High,United States,0
New Humanist,Pro-Science,High,United Kingdom,"63,677"
New Internationalist,Left,High,United Kingdom,"1,179,744"
New Left Review,Left,High,United Kingdom,"273,564"
New Matilda,Left-Center,High,Australia,"267,181"
New Moderate,Left-Center,High,United States,"27,297"
New Politics Magazine,Left,High,United States,"76,211"
New Republic,Left,High,United States,"1,672,937"
New Revolution Now,Right,High,United States,162
New Scientist,Pro-Science,High,United Kingdom,"7,641,073"
New Statesman,Left,High,United States,"299,493"
New York Amsterdam News,Left,High,United States,"143,968"
New York Magazine,Left,High,United States,"7,128,454"
New York Observer,Right-Center,High,United States,"1,320,766"
New York Times,Left-Center,High,United States,"24,317,383"
New Yorker,Left,High,United States,"3,270,734"
New Zealand Herald,Least Biased,High,New Zealand,"2,229,449"
News Channel 4 (KFOR.com),Left-Center,High,United States,"206,116"
News Deeply,Left-Center,High,United States,"74,853"
News-Gazette,Right-Center,High,United States,"180,891"
The News Literacy Project,Least Biased,High,United States,"6,844"
News Rescue,Right-Center,High,United States,"32,430"
News24 (South Africa),Least Biased,High,South Africa,"2,103,645"
Newsday,Left-Center,High,United States,"2,151,175"
Newsela,Least Biased,High,United States,"244,536"
Newser,Left-Center,High,United States,"573,006"
Newsguard,Least Biased,High,United States,"16,397"
NewsNet (YourNewsNet.com),Least Biased,High,United States,"14,081"
NewsNow UK,Least Biased,High,United Kingdom,"1,945,353"
Newsy,Left-Center,High,United States,"318,141"
Next Big Future,Pro-Science,High,,"677,128"
Next Observer,Pro-Science,High,,26
NextGOV,Least Biased,High,,"158,285"
NHK World,Least Biased,High,,"54,121"
Niskanen Center,Least Biased,High,,"14,157"
NK News,Least Biased,High,,"74,736"
No Labels,Least Biased,High,,"27,623"
Noozhawk,Least Biased,High,,"258,117"
Northwest Indiana Times,Least Biased,High,United States,"162,304"
Novinite,Least Biased,High,,"1,933,951"
Now Magazine,Left,High,,"195,499"
NPR,Left-Center,High,United States,"10,213,049"
NTD.TV (New Tang Dynasty),Right-Center,High,United States,"1,232,859"
OCWeekly,Left-Center,High,United States,"118,624"
Occupy.com,Left,High,United States,"61,154"
Oil and Water Don't Mix,Left-Center,High,United States,"1,403"
OilPrice,Least Biased,High,United Kingdom,"1,718,756"
OneEighty,Least Biased,High,,"1,030"
Ontario Proud,Right,High,Canada,70
Open the Government,Least Biased,High,,"33,628"
openDemocracy,Left-Center,High,United States,"571,248"
Orange County Register,Right-Center,High,United States,"1,179,747"
Oregonian,Right-Center,High,United States,"4,572,276"
Orlando Sentinel,Left-Center,High,United States,"1,289,692"
Ottawa Citizen,Right-Center,High,Canada,"1,149,794"
Ottawa Sun,Right-Center,High,Canada,"603,639"
Our World In Data,Left-Center,High,United Kingdom,"132,312"
Out Magazine,Left,High,United States,"6,811"
Outside The Beltway,Left-Center,High,United States,"1,440,861"
Oyez Project,Least Biased,High,,"171,850"
Ozy Media,Left-Center,High,,"387,592"
Pacific Daily News,Least Biased,High,,"76,437"
Pacific Research Institute,Right-Center,High,,"125,062"
Pacific Standard Magazine,Left-Center,High,United States,"216,153"
Palm Beach Daily News,Left-Center,High,United States,0
Parallax News,Least Biased,High,United States,187
Paste Magazine,Left,High,United States,"792,844"
Patch,Least Biased,High,United States,"1,612,902"
Patheos,Least Biased,High,United States,"917,479"
Patriotic Millionaires,Left-Center,High,United States,"24,306"
Peninsula Daily News,Right-Center,High,United States,"29,667"
Pensacola News Journal,Least Biased,High,United States,"934,409"
People for the American Way (PFAW),Left,High,,"230,897"
People Magazine,Left,High,United States,"3,313,928"
Peterson Foundation,Least Biased,High,United States,"48,723"
Peterson Institute for International Economics,Least Biased,High,United States,"62,283"
Philadelphia Inquirer,Left-Center,High,United States,"1,358"
Philippine Daily Inquirer,Left-Center,High,Philippines,"298,706"
Phoenix News Times,Left-Center,High,United States,"199,965"
Phys.org,Pro-Science,High,United Kingdom,"1,977,989"
PINAC,Left,High,United States,"253,369"
Pittsburgh Post-Gazette,Right-Center,High,United States,"1,705,481"
Pittsburgh Tribune Review,Right-Center,High,United States,"221,975"
Places Journal,Least Biased,High,,"68,386"
Pocono Record,Least Biased,High,United States,"181,563"
PolicyEd.org,Right-Center,High,,"19,106"
Political Critique,Left-Center,High,,"213,676"
Political Storm,Least Biased,High,,"26,819"
Political Wire,Least Biased,High,,"1,966,497"
Politico,Least Biased,High,United States,"3,882,511"
Politics That Work,Left-Center,High,United States,"4,573"
Politifact,Least Biased,High,United States,"1,382,237"
Politisite,Right,High,United States,"20,008"
Polygon,Left-Center,High,United States,0
Popular Information,Left,High,United States,"15,561"
Popular Mechanics,Pro-Science,High,United States,"1,442,550"
Popular Resistance,Left,High,,"167,085"
Popular Science,Pro-Science,High,United States,"609,823"
Population Connection,Left-Center,High,,"138,192"
Populist Wire,Right,High,,"2,073"
Portland Press-Herald,Left-Center,High,United States,"823,828"
Positive News,Left-Center,High,,"36,364"
Poynter Institute,Least Biased,High,United States,"536,899"
PR Newswire,Least Biased,High,United States,"2,287,445"
Press Progress,Left,High,,"1,223"
Procon.org,Least Biased,High,United States,"121,475"
Progressive Army,Left,High,,"25,315"
Project Censored,Left,High,,"267,647"
Project Syndicate,Left-Center,High,Czech Republic,"1,031,733"
Propublica,Left-Center,High,United States,"1,994,243"
Prospect Magazine,Left-Center,High,United Kingdom,"158,766"
Psych Central,Pro-Science,High,United States,0
Psychology Today,Pro-Science,High,United States,"180,409"
Public Citizen,Left-Center,High,,"224,608"
Punching Bag Post,Right-Center,High,,"14,334"
PutinTrump.org,Left,High,,943
Quackwatch,Pro-Science,High,United States,"233,766"
Quad City Times,Least Biased,High,United States,"98,997"
Quartz,Left-Center,High,United States,"816,997"
Queerty,Left,High,United States,"1,736,264"
R Street Institute,Right-Center,High,United States,"7,326"
Rabble.ca,Left,High,Canada,"359,779"
Radio Free Asia,Left-Center,High,,"815,184"
Raleigh News & Observer,Left-Center,High,United States,"1,727,066"
Rand Corporation,Least Biased,High,United States,"664,523"
Rantt Media,Left,High,United States,"4,900"
Rapid City Journal,Least Biased,High,United States,"39,491"
Rasmussen Reports,Right-Center,High,United States,"707,528"
RationalWiki,Left-Center,High,United States,"26,373"
Raw Progressive,Left,High,,5
Reading the Pictures,Left,High,,"242,985"
Real Clear Defense,Right-Center,High,United States,"190,441"
Real Clear Policy,Right-Center,High,United States,"266,065"
Real Clear Science,Pro-Science,High,United States,"393,408"
Real News Network,Left,High,United States,"642,014"
RealClearReligion,Right-Center,High,United States,"377,841"
The Reality-Based Community,Left,High,,"856,981"
